"pH_level,WHC,Temperature_Casing,Humidity_Casing,Casing_Quality,Temperature_Disease,Humidity_Disease,pH_level_Disease,Light_Intensity,Ventilation,Disease_Status,Number_of_Bags,Paddy_Straw_Type,Spawn_Type,Casing_Material,Harvest_Yield,Edibility"
"6.561810178271044,70.38799454728887,22.219525296304006,85.45003931369413,Fair,26.180183384861813,73.45142853575545,7.234878536122688,1238.351147675738,Fair,Detected,71,Type A,Spawn 3,Material 1,1180.3582167892723,Non-Edible"
"7.4260714596148745,71.8677252823113,22.26843514894725,79.6228871959195,Poor,24.88162191675772,65.92752476193182,6.764624028138796,1664.0340423491098,Poor,Not Detected,39,Type C,Spawn 2,Material 3,1351.359799195464,Non-Edible"
"7.0979909127171075,78.31245805089942,23.955921141768883,85.77916670020693,Fair,27.590745133976107,93.31958865413507,6.477194799745025,1124.9552688612107,Fair,Not Detected,36,Type B,Spawn 1,Material 1,1422.3722042392556,Non-Edible"
"6.897987726295555,77.66768356338336,23.460822139717745,71.4701655360535,Fair,24.11857928415636,71.05509994683392,6.028916416262945,774.3438135312213,Poor,Detected,84,Type A,Spawn 3,Material 3,787.0042466604377,Non-Edible"
"6.234027960663655,73.50642691457146,24.37124575095763,73.83187935805991,Good,29.855513578643702,86.98821026592977,7.192539291179508,1121.9940006397396,Fair,Not Detected,46,Type C,Spawn 2,Material 2,1880.4369756585397,Non-Edible"
"6.233991780504304,73.76810627774212,24.748812512030593,81.0306849929272,Fair,23.976120548634338,76.2067349371275,6.795372493493452,1585.0161221955916,Fair,Detected,79,Type A,Spawn 1,Material 2,1745.1416092152776,Non-Edible"
"6.087125418252299,75.3355443355358,23.165100633014642,88.9417664950539,Fair,23.330716349115807,87.35760877515347,6.801281066414463,1777.6277866516457,Good,Detected,25,Type A,Spawn 1,Material 1,1742.606680473675,Non-Edible"
"7.299264218662403,70.00241004685135,23.78923007975394,71.49515693443561,Poor,28.709863767505805,76.85632361385743,7.435593495975064,1657.4377939697129,Fair,Not Detected,29,Type B,Spawn 3,Material 1,1297.480681424883,Edible"
"6.901672517614813,72.41244336038028,23.502089883385928,70.86168432313728,Poor,23.95506423018935,92.39459313469163,6.729341194155961,1061.6814234693875,Good,Detected,83,Type C,Spawn 1,Material 1,1730.0807813900808,Non-Edible"
"7.062108866694068,72.08231808608214,24.9448319669273,73.13101349855711,Good,28.708973191206802,88.0148180914783,6.473701999200785,1368.7232636633462,Good,Not Detected,55,Type A,Spawn 1,Material 1,1441.2274725044706,Non-Edible"
"6.030876741443704,72.50482946749763,24.493253222069786,82.82306257720313,Good,20.273542856238503,69.11011632030801,6.509756951303697,1040.6789952558952,Good,Not Detected,83,Type A,Spawn 3,Material 3,1175.832372286979,Non-Edible"
"7.4548647782429915,78.05905842533441,24.73521312483206,77.97985833340495,Fair,26.925933110655876,75.0632221321794,6.017620342834695,1556.7457776477154,Fair,Not Detected,34,Type C,Spawn 2,Material 3,1628.6908837789001,Non-Edible"
"7.2486639612006325,72.79673856546444,22.763020262732812,86.51104758835373,Good,20.718528734990972,63.52064322379832,6.183526550517712,1154.6782985777006,Good,Detected,68,Type C,Spawn 2,Material 1,1399.9148079575302,Edible"
"6.318508666017414,71.91521322050149,24.317579269487783,71.43866302962732,Poor,21.48232463084952,91.62149596094024,6.06571314491221,1647.2559146808,Good,Not Detected,95,Type C,Spawn 1,Material 2,503.02045676203835,Non-Edible"
"6.272737450810651,75.04263460793031,22.796419674992947,73.92828173629402,Poor,27.00075019869591,62.42537126852374,6.364890234869149,519.1942363741182,Fair,Not Detected,41,Type C,Spawn 3,Material 1,1995.5041927317623,Non-Edible"
"6.27510676478015,78.65645036372732,22.62622760028517,76.00052810929792,Poor,22.897233412135247,60.638456288586596,6.096978494432321,1010.23032087661,Fair,Not Detected,26,Type A,Spawn 2,Material 3,1144.7765205602025,Non-Edible"
